Booking_ID,User_Type,Location_Zone,Slot_Type,Start_Time,Duration_Hours,Base_Price_Per_Hour,Dynamic_Price_Per_Hour,Occupancy_Status,Payment_Mode,User_Rating,Event_Tag,Anomaly
B1000,Regular,Airport_Proximity,Commercial_Space,12:15,2,85.79,85.79,Available,Wallet,,Normal_Day,No
B1001,Regular,Residential,Driveway,17:15,3,47.67,47.67,Occupied,Wallet,3.3,Normal_Day,No
B1002,Regular,Commercial,Apartment_Lot,20:15,2,95.59,95.59,Occupied,UPI,3.1,Normal_Day,No
B1003,Office_Commuter,Airport_Proximity,Commercial_Space,14:15,1,73.94,96.12,Occupied,UPI,4.0,Weekend,No
B1004,Regular,IT_Hub,Driveway,13:45,2,67.78,67.78,Available,Wallet,,Normal_Day,No
B1005,Office_Commuter,IT_Hub,Apartment_Lot,21:30,1,51.94,51.94,Occupied,UPI,3.8,Normal_Day,No
B1006,Regular,IT_Hub,Driveway,18:00,2,21.24,21.24,Occupied,UPI,4.4,Normal_Day,No
B1007,Office_Commuter,Event_Venue,Valet_Service,14:45,8,66.33,86.23,Occupied,UPI,3.6,Weekend,No
B1008,Regular,IT_Hub,Apartment_Lot,08:00,2,30.66,30.66,Occupied,Wallet,3.2,Normal_Day,No
B1009,Regular,Residential,Commercial_Space,22:45,3,47.84,62.19,Occupied,Wallet,4.1,Weekend,No
B1010,Regular,IT_Hub,Apartment_Lot,07:15,6,49.15,73.72,Occupied,Card,4.1,Festival,No
B1011,Office_Commuter,IT_Hub,Driveway,06:00,2,43.29,43.29,Available,Card,,Normal_Day,No
B1012,Regular,Commercial,Apartment_Lot,10:00,1,74.53,74.53,Occupied,Wallet,3.7,Normal_Day,No
B1013,Office_Commuter,Airport_Proximity,Driveway,07:30,2,68.34,68.34,Occupied,Wallet,4.0,Normal_Day,No
B1014,Regular,Residential,Valet_Service,07:00,3,91.43,91.43,Occupied,UPI,4.3,Normal_Day,No
B1015,Event_Goer,Commercial,Driveway,06:00,2,77.52,77.52,Occupied,UPI,4.4,Normal_Day,No
B1016,Regular,Commercial,Driveway,12:45,8,74.28,111.42,Occupied,Wallet,3.4,Festival,No
B1017,Event_Goer,IT_Hub,Driveway,21:15,10,20.0,20.0,Occupied,Card,4.9,Normal_Day,No
B1018,Event_Goer,IT_Hub,Driveway,14:30,4,41.09,41.09,Available,Card,,Normal_Day,No
B1019,Office_Commuter,IT_Hub,Apartment_Lot,08:45,1,41.06,53.38,Occupied,UPI,4.1,Weekend,No
B1020,Tourist,IT_Hub,Driveway,06:45,2,51.59,67.07,Available,Wallet,,Weekend,No
B1021,Event_Goer,Residential,Driveway,19:15,10,31.79,31.79,Available,Wallet,,Normal_Day,No
B1022,Office_Commuter,Commercial,Apartment_Lot,06:00,2,97.84,127.19,Occupied,Card,3.9,Weekend,No
B1023,Regular,IT_Hub,Commercial_Space,10:45,2,39.69,51.6,Occupied,Card,3.2,Weekend,No
B1024,Regular,Residential,Driveway,08:45,2,50.96,71.34,Occupied,UPI,4.3,Sport_Event,No
B1025,Regular,Residential,Driveway,22:45,4,36.65,47.65,Occupied,UPI,4.6,Weekend,No
B1026,Office_Commuter,IT_Hub,Valet_Service,12:00,4,74.44,111.66,Occupied,UPI,3.9,Festival,No
B1027,Tourist,Commercial,Driveway,22:45,1,68.72,68.72,Occupied,UPI,4.7,Normal_Day,No
B1028,Regular,Airport_Proximity,Apartment_Lot,11:00,2,86.64,86.64,Occupied,Card,4.4,Normal_Day,No
B1029,Regular,Commercial,Apartment_Lot,10:15,10,62.61,93.91,Occupied,UPI,3.3,Festival,No
B1030,Regular,Residential,Apartment_Lot,21:00,4,43.77,56.9,Occupied,UPI,3.7,Weekend,No
